m,n,k,kernelId,kernelParam1,kernelParam2,kernelParam3
4608,16,3584,1,2,1,2
4608,32,3584,1,1,1,1
4608,48,3584,1,1,1,1
4608,64,3584,1,1,1,1
4608,80,3584,1,2,2,1
4608,96,3584,1,2,2,1
4608,112,3584,1,2,2,1
4608,128,3584,1,2,2,1
4608,144,3584,1,2,2,1
4608,160,3584,1,2,2,1
4608,176,3584,1,2,2,1
4608,192,3584,1,2,2,1
4608,208,3584,1,2,2,1
4608,224,3584,1,2,2,1
4608,240,3584,1,1,2,1
4608,256,3584,1,1,2,1
3584,16,3584,1,2,1,3
3584,32,3584,1,1,1,3
3584,48,3584,1,1,1,1
3584,64,3584,1,1,1,1
3584,80,3584,1,2,3,1
3584,96,3584,1,2,2,1
3584,112,3584,1,2,3,1
3584,128,3584,1,2,3,1
3584,144,3584,1,2,3,1
3584,160,3584,1,2,3,1
3584,176,3584,1,2,3,1
3584,192,3584,1,2,3,1
3584,208,3584,1,2,3,1
3584,224,3584,1,2,3,1
3584,240,3584,1,2,3,1
3584,256,3584,1,2,3,1
37888,16,3584,1,1,1,1
37888,32,3584,1,2,1,1
37888,48,3584,1,2,1,1
37888,64,3584,1,2,1,1
37888,80,3584,1,2,1,1
37888,96,3584,1,2,1,1
37888,112,3584,1,2,1,1
37888,128,3584,1,2,1,1
37888,144,3584,1,2,1,1
37888,160,3584,1,2,1,1
37888,176,3584,1,2,1,1
37888,192,3584,1,2,1,1
37888,208,3584,1,2,1,1
37888,224,3584,1,2,2,1
37888,240,3584,1,2,2,1
37888,256,3584,1,2,2,1
3584,16,18944,1,2,1,3
3584,32,18944,1,2,1,3
3584,48,18944,1,2,1,3
3584,64,18944,1,2,1,3
3584,80,18944,1,2,1,3
3584,96,18944,1,2,1,3
3584,112,18944,1,2,1,3
3584,128,18944,1,1,1,3
3584,144,18944,1,2,3,1
3584,160,18944,1,2,2,3
3584,176,18944,1,2,3,1
3584,192,18944,1,2,3,1
3584,208,18944,1,2,2,3
3584,224,18944,1,2,2,3
3584,240,18944,1,2,2,3
3584,256,18944,1,2,2,3
3072,16,1536,1,1,1,1
3072,32,1536,1,1,1,1
3072,48,1536,1,1,1,1
3072,64,1536,1,1,1,1
7168,16,2048,1,2,1,1
7168,32,2048,1,2,1,1
7168,48,2048,1,2,1,1
7168,64,2048,1,2,1,1
4608,16,7168,1,2,1,2
4608,32,7168,1,2,1,2
4608,48,7168,1,2,1,2
4608,64,7168,1,2,1,2
7168,16,2304,1,2,1,1
7168,32,2304,1,2,1,1
7168,48,2304,1,2,1,1
7168,64,2304,1,2,1,1
3072,16,1536,1,2,1,1
3072,32,1536,1,1,1,1
3072,48,1536,1,1,1,1
3072,64,1536,1,2,2,1
3072,80,1536,1,2,4,1
3072,96,1536,1,1,2,1
3072,112,1536,1,1,2,1
3072,128,1536,1,1,2,1
7168,16,256,1,2,1,1
7168,32,256,1,2,1,1
7168,48,256,1,2,1,1
7168,64,256,1,2,1,1
7168,80,256,1,2,1,1
7168,96,256,1,1,2,1
7168,112,256,1,1,2,1
7168,128,256,1,1,2,1
7168,16,2048,1,2,1,1
7168,32,2048,1,2,1,1
7168,48,2048,1,2,1,1
7168,64,2048,1,2,1,1
7168,80,2048,1,2,1,1
7168,96,2048,1,2,1,1
7168,112,2048,1,2,1,1
7168,128,2048,1,1,2,1
7168,16,2304,1,2,1,1
7168,32,2304,1,2,1,1
7168,48,2304,1,2,1,1
